X,Y,fid,handle,block,etype,space,layer,olinetype,linetype,color,ocolor,color24,transparency,lweight,linewidth,ltscale,visible,thickness,ext,height,text,angle,widthscale,oblique,style,textgen,alignh,alignv,interlin,icon_url
35.5252459310095,33.8895382868798,"25","5294","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"25",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.525407336945,33.8895435020383,"26","5295","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"26",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5254347631545,33.8894023139745,"27","5296","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"600",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5253058962466,33.889732971315,"28","5297","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"27",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5253910307246,33.8899705613669,"29","5298","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"28",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5253797892709,33.8901836302531,"30","5299","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"29",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5253436542428,33.8904228786425,"31","5300","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"30",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5253643488587,33.8906110667497,"32","5301","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"31",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5253799659232,33.8908707347823,"33","5302","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"32",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5255120922762,33.8887324733435,"34","5303","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"605",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5259358807489,33.891189854052,"35","5304","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"33",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5259188430277,33.8910680006773,"36","5305","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"34",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5258898882046,33.8907743889842,"37","5306","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"35",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5258993910988,33.8905087057345,"38","5307","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"36",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5258897755301,33.8903632336004,"39","5308","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"37",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5259115979292,33.8902143403407,"40","5309","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"38",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5258679544681,33.8899538017595,"41","5310","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"39",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5258071177003,33.8897872313847,"42","5311","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"40",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5258824771005,33.8894645754618,"43","5312","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"41",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5257999724402,33.8893619614269,"44","5313","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"42",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5258523767712,33.889148553735,"45","5314","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"43",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.5258225181385,33.8890508454997,"46","5315","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"44",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
35.525807893549,33.8889431148946,"47","5316","-1","45","0",lot number,continuous,,"0,0,0,139","256","-1","0","-1",0,1,"1",0,"(3:0,0,1)",1,"45",0.0117972222222222,1,0,ITALICT,"0","4","0",-1,
